T_K [INPUT],P_atm [INPUT],Z_feed [INPUT],N_stages [INPUT],F_Stage [INPUT],R_reflux [INPUT],B_molps [INPUT],xD [OUTPUT],xB [OUTPUT],QC_kW [OUTPUT],QR_kW [OUTPUT],status [INFO]
369.9,1.568,0.2711,12,8,2.691,65.5,0.73788661,0.97151008,3863.6046,4429.9969,done
352.1,2.969,0.3541,9,7,3.112,34.05,0.52614026,0.97602923,8631.8944,9602.3088,done
339.1,1.94,0.3461,16,13,4.952,31.99,0.49971584,0.98084378,13183.7608,13802.7242,done
352.6,1.495,0.6845,8,4,4.942,64.94,0.98684028,0.48223463,6361.5985,6783.912,done
374.8,1.181,0.6158,16,2,3.143,67.47,0.989955,0.56494736,3980.3751,4566.1968,done
335.3,1.812,0.6717,16,10,3.277,62.54,0.98724208,0.51682854,5060.0263,5203.0687,done
339.2,2.068,0.4325,17,16,2.121,30.4,0.60710678,0.96453854,7004.0291,7278.3399,done
330.1,2.343,0.5965,12,9,3.701,30.47,0.84979906,0.97794709,10503.2075,11063.0744,done
346.8,2.868,0.4097,17,12,2.86,68.57,0.98281497,0.85325573,3752.3864,4122.8048,done
347.0,1.052,0.2472,17,2,1.896,34.09,0.35461087,0.96358139,6196.5294,6269.2864,done
365.4,2.218,0.2087,9,3,4.853,55.83,0.46666576,0.99442311,8074.9909,8963.4812,done
349.2,1.194,0.233,10,8,3.896,68.53,0.70294366,0.9849334,4868.3741,5091.2093,done
331.5,2.862,0.2982,17,7,4.342,31.18,0.43116155,0.99374141,12206.4577,13238.4305,done
353.2,1.406,0.2445,8,2,3.88,45.55,0.44119661,0.99247449,8480.1338,8810.6216,done
347.6,2.876,0.2694,18,13,3.122,54.04,0.58033973,0.99101976,6021.2482,6676.8811,done
346.3,2.341,0.3524,15,14,4.869,59.0,0.84203444,0.98558293,7546.612,8173.0514,done
367.1,2.913,0.4659,16,15,1.37,50.65,0.87412712,0.93200113,3527.7378,4129.5847,done
345.3,2.975,0.6186,19,6,4.611,46.94,0.99875836,0.80968269,9214.2603,10228.1245,done
330.8,2.469,0.3588,15,14,2.511,33.55,0.52647464,0.97744109,7665.767,8024.6198,done
354.0,1.61,0.3322,19,18,4.318,48.64,0.63299385,0.98426368,8627.5447,9062.4126,done
379.7,2.002,0.6383,9,7,4.97,51.1,0.98141678,0.68846687,8560.7021,9607.3913,done
355.2,2.64,0.6997,19,5,1.17,54.81,0.99439027,0.54431704,2991.4201,3329.2965,done
345.7,1.356,0.5706,10,3,4.583,58.13,0.999,0.73826426,7261.5326,7454.0682,done
367.2,2.359,0.3576,16,9,4.321,62.07,0.93621208,0.99411301,6044.7817,6912.0324,done
370.6,1.507,0.5081,13,10,1.5,64.86,0.98193703,0.748758,2611.7901,3137.0059,done
363.3,1.572,0.6631,13,11,4.783,32.04,0.96065696,0.95998717,11881.4991,12542.8463,done
344.5,1.49,0.2672,11,3,4.368,33.28,0.39971325,0.998,11624.1587,11968.2307,done
332.2,2.44,0.7123,9,8,1.08,51.23,0.97814824,0.53997442,3220.8518,3201.905,done
375.5,2.992,0.301,14,2,3.344,50.88,0.60712903,0.998,6449.812,7570.6592,done
357.4,2.112,0.7839,15,11,4.586,42.26,0.98252923,0.48737744,9843.2865,10655.1119,done
373.7,2.386,0.3264,12,5,4.409,30.23,0.47042487,0.998,11613.2672,12926.0731,done
343.3,1.775,0.6637,13,11,4.453,39.57,0.97921309,0.8148528,10249.4954,10706.1597,done
368.2,2.436,0.3457,19,14,4.676,60.53,0.86360546,0.99721439,6750.7898,7671.6675,done
347.6,2.821,0.6623,9,4,1.613,51.42,0.99319416,0.65067182,3916.4037,4255.3188,done
342.4,1.773,0.4364,16,2,4.557,56.55,0.98930924,0.98945755,7542.3598,7868.8776,done
367.4,2.88,0.634,16,12,3.973,62.48,0.98159137,0.57415618,5575.298,6503.1084,done
345.5,2.387,0.4163,15,14,4.276,51.44,0.84249199,0.98608075,8022.4313,8665.5337,done
373.0,2.134,0.7482,10,5,1.891,40.29,0.99180007,0.61083558,5118.2428,5821.0982,done
349.9,1.878,0.3038,16,5,4.075,33.29,0.45730611,0.99585769,10823.5705,11465.6402,done
354.8,1.722,0.5576,11,10,4.892,37.67,0.87342499,0.96839031,11308.997,11939.0995,done
378.0,1.697,0.5215,17,7,3.666,39.05,0.85506302,0.99794155,8438.1137,9221.7581,done
367.0,1.831,0.5361,17,13,2.636,64.99,0.98084347,0.70659041,3817.9868,4369.138,done
347.0,3.0,0.5431,12,4,4.235,53.89,0.99857171,0.84756592,7450.1156,8323.6384,done
372.2,2.2,0.7745,13,6,4.486,51.8,0.99200203,0.4283964,7815.1665,8823.4907,done
333.9,1.692,0.2424,16,7,3.43,54.44,0.52910253,0.998,6617.7508,6733.8221,done
364.8,2.544,0.7914,10,8,4.444,44.14,0.97962727,0.44564053,9121.6388,10216.136,done
368.7,2.65,0.3092,17,2,4.016,66.0,0.90389033,0.99622576,5098.6357,5957.4193,done
349.3,1.701,0.5385,15,2,4.098,56.25,0.98946718,0.81661755,6869.3737,7275.9955,done
340.8,2.297,0.6288,17,7,1.915,56.61,0.99325201,0.65367712,3941.9903,4151.4582,done
339.3,1.639,0.6342,11,10,3.102,59.98,0.97408335,0.59328744,5129.9961,5300.4744,done
339.9,1.249,0.4618,19,2,1.781,32.13,0.67652163,0.9894785,6043.4511,6055.8326,done
347.7,2.769,0.5773,13,9,2.423,39.77,0.9469014,0.98135325,6410.5055,6933.9012,done
378.8,2.166,0.5025,10,8,3.751,58.09,0.97858248,0.84258852,5843.9712,6787.4941,done
355.5,1.279,0.7771,12,5,2.577,57.81,0.99655035,0.38317976,4590.2917,4923.4213,done
344.7,1.961,0.4261,9,8,1.13,56.98,0.91913401,0.94630079,2855.6558,3003.6667,done
335.5,2.518,0.7733,16,11,3.524,34.98,0.98313187,0.61827505,9252.2763,9837.8114,done
356.6,2.899,0.606,20,10,4.244,34.58,0.92113345,0.99519644,10481.3154,11778.0966,done
353.6,1.274,0.3564,15,12,3.864,32.47,0.523919,0.9827541,10428.2969,10729.0969,done
344.1,1.406,0.6728,8,3,4.086,59.1,0.99257362,0.55182304,6466.4638,6663.5224,done
367.3,2.743,0.4998,18,12,4.723,68.25,0.98579315,0.72440275,5461.3132,6349.4647,done
336.4,2.043,0.3604,15,11,4.902,57.04,0.82929322,0.99170923,8081.1563,8454.1633,done
372.7,2.75,0.4344,16,14,4.337,43.51,0.75550096,0.98128499,9079.1814,10414.7618,done
365.4,1.872,0.7193,15,4,4.6,33.99,0.99682887,0.81980809,11063.0779,11959.3979,done
369.3,2.939,0.3557,17,8,3.011,41.6,0.60615018,0.99622912,7200.6914,8272.1321,done
342.6,2.059,0.6823,14,7,2.536,39.7,0.98899193,0.78676007,6620.4953,6962.1627,done
342.2,2.458,0.5595,10,4,3.325,47.74,0.99492887,0.91408437,7014.3173,7530.6298,done
345.9,2.96,0.6557,16,9,4.286,66.78,0.98952374,0.51146705,5436.0697,6061.8132,done
331.6,2.304,0.7858,14,6,2.704,60.85,0.99452117,0.34538258,4596.5837,4721.2191,done
349.6,1.996,0.6325,18,10,1.93,54.12,0.9889401,0.6702416,4133.6227,4438.8938,done
348.8,1.818,0.2387,20,7,3.147,58.1,0.57137977,0.998,5526.7137,5887.9546,done
374.0,2.294,0.3912,15,10,3.462,33.04,0.57971192,0.98560872,9118.1598,10194.275,done
333.8,2.526,0.3472,13,7,4.466,50.55,0.69529725,0.99567269,8745.2518,9343.4753,done
345.7,1.349,0.2645,17,2,1.755,58.54,0.60419529,0.97425321,3639.0968,3795.8085,done
334.3,2.78,0.5101,19,14,2.835,56.43,0.98054731,0.8559125,5268.1064,5571.6117,done
332.8,1.585,0.4426,18,6,3.044,63.12,0.99804674,0.88415737,4713.1512,4768.7723,done
355.4,1.886,0.4511,14,12,2.851,38.96,0.72225037,0.97207072,7301.5431,7839.4293,done
341.6,2.828,0.2994,16,11,3.362,52.83,0.62570649,0.99333779,6587.7639,7180.7809,done
377.5,1.735,0.3811,13,8,3.857,55.78,0.84876191,0.98901859,6380.2447,7181.4691,done
358.2,2.87,0.6547,10,3,4.074,55.16,0.99859393,0.6283066,6896.0273,7786.1816,done
367.9,1.9,0.3571,18,14,4.693,44.1,0.62910792,0.9847731,9753.5015,10640.5027,done
337.1,2.007,0.3999,19,11,3.279,60.17,0.99018935,0.99053379,5342.8352,5581.4916,done
375.7,2.801,0.5863,10,9,2.915,30.24,0.8192961,0.95226474,8169.0852,9372.5948,done
334.0,1.561,0.6332,9,2,2.285,63.11,0.99346344,0.57906099,3821.9067,3856.7894,done
367.9,1.638,0.4594,14,9,4.358,66.22,0.98492541,0.80729039,5393.3197,6019.5461,done
362.5,2.766,0.6806,17,6,2.841,36.94,0.99686254,0.85843789,7300.2586,8223.18,done
352.6,2.696,0.7184,15,3,1.008,35.07,0.99429326,0.78971977,3978.5379,4320.2907,done
340.6,2.897,0.3233,15,12,4.23,40.82,0.53622619,0.98918895,10034.2426,10970.5919,done
337.5,2.842,0.2542,16,10,2.214,61.75,0.6227979,0.97426823,3965.906,4190.0722,done
346.2,1.399,0.7544,14,11,4.298,42.29,0.97769121,0.55142674,9465.9373,9743.3972,done
372.0,2.137,0.3122,11,2,4.622,34.07,0.47332295,0.998,11395.018,12563.9648,done
371.0,2.671,0.544,14,3,1.385,45.86,0.95147135,0.9360283,3848.3228,4492.7456,done
348.2,1.98,0.6766,13,9,4.666,50.49,0.98217572,0.62690835,8649.0024,9218.8745,done
346.8,2.704,0.4931,15,4,3.134,40.54,0.82746413,0.998,7716.8585,8396.1191,done
370.3,2.003,0.4747,9,8,2.082,48.56,0.8566732,0.93157956,4768.237,5405.9516,done
371.2,2.4,0.4015,16,7,2.085,47.5,0.76139761,0.99478816,4883.8774,5629.0362,done
359.7,2.049,0.3526,10,5,3.42,60.21,0.85668463,0.98074947,5369.9854,5942.1025,done
351.5,1.557,0.6053,12,9,1.599,54.89,0.98461806,0.70397303,3602.1905,3846.3122,done
340.0,1.622,0.3916,17,15,2.658,52.61,0.80816368,0.9867335,5484.457,5668.4312,done
350.9,1.477,0.325,11,5,4.772,32.45,0.4796943,0.99728421,12451.3359,12891.2024,done
332.4,1.748,0.6408,17,2,1.831,54.47,0.99128961,0.65215187,4084.2141,4085.4114,done
377.2,1.167,0.2324,10,7,4.386,44.97,0.41382218,0.98838761,9093.4411,9667.0893,done
331.1,1.344,0.4641,16,15,3.646,63.75,0.97628734,0.82447113,5325.8419,5333.9241,done
367.3,1.301,0.6021,15,2,2.607,41.04,0.98947789,0.95614816,6374.5884,6788.0861,done
336.0,2.599,0.4788,20,5,1.76,45.0,0.87342012,0.99754488,4832.4484,5021.4561,done
348.7,2.619,0.2863,17,7,1.475,48.02,0.52348501,0.96707239,4119.1345,4453.6448,done
364.6,1.71,0.2372,18,15,3.838,53.44,0.50089797,0.99296233,7005.9669,7621.9395,done
337.8,2.067,0.3244,19,10,4.962,50.28,0.71701458,0.99718621,9517.9288,10009.8641,done
352.2,1.237,0.3788,8,3,2.688,64.43,0.99259379,0.9608051,4019.4032,4275.3107,done
344.0,1.435,0.5478,18,4,1.585,37.29,0.87472925,0.998,5081.1638,5200.5579,done
345.0,2.859,0.4295,13,6,3.68,37.61,0.6836132,0.99351254,9278.3291,10176.7903,done
359.0,1.732,0.3407,9,8,2.574,39.1,0.53701305,0.96726287,6848.2011,7295.6388,done
362.0,2.391,0.2009,15,3,4.888,69.04,0.64686035,0.998,5636.0555,6370.6341,done
362.2,1.549,0.7255,19,6,1.045,45.33,0.999,0.60116054,3370.5461,3728.4974,done
349.2,1.721,0.5699,19,2,3.797,62.89,0.99096971,0.67795391,5465.2938,5820.329,done
341.6,2.403,0.4906,18,3,4.794,57.46,0.99244657,0.881563,7681.9584,8251.5994,done
338.9,1.39,0.4122,14,11,4.285,47.83,0.77961382,0.99058772,8772.0949,8918.5547,done
378.3,2.871,0.2701,15,12,2.175,66.72,0.75599153,0.97519321,3147.1636,3935.2309,done
362.1,1.946,0.5732,9,7,2.422,59.19,0.98094267,0.70763593,4217.195,4713.7373,done
335.2,2.803,0.3208,19,11,3.161,49.48,0.62740242,0.99433093,6816.6758,7331.0887,done
345.1,2.185,0.5533,15,3,3.272,60.08,0.99546242,0.74198055,5283.9049,5663.0524,done
334.8,2.108,0.4085,10,9,4.572,47.05,0.75310585,0.978513,9448.209,9959.4386,done
343.2,2.711,0.2495,14,9,1.185,41.65,0.40072255,0.96438527,4162.2082,4383.6766,done
365.8,1.953,0.2797,18,14,3.57,56.36,0.63093487,0.99020809,6153.2735,6812.4854,done
349.4,1.37,0.3178,14,5,2.468,32.3,0.46557659,0.99283976,7539.6459,7745.7928,done
372.9,2.631,0.3491,17,12,1.659,36.45,0.5118726,0.94057913,5174.9122,5994.2782,done
350.7,2.735,0.7613,12,10,2.46,33.12,0.97794139,0.67869933,7104.3693,7829.5089,done
335.4,1.617,0.5943,18,11,3.287,41.29,0.98936838,0.9657466,7929.6523,8071.7203,done
376.2,2.231,0.2631,17,4,1.919,67.18,0.76006364,0.97749885,2870.6279,3554.4656,done
330.5,2.331,0.2105,11,2,1.796,36.4,0.31222252,0.96712882,5943.5763,6087.9487,done
371.7,2.014,0.6274,10,6,4.525,58.58,0.98846967,0.62750647,6770.1549,7654.237,done
363.9,1.847,0.5697,19,8,2.991,35.86,0.88742181,0.998,7746.9055,8368.5355,done
346.7,2.985,0.2175,11,10,3.236,52.15,0.43656908,0.98271583,6547.9236,7243.468,done
339.2,2.937,0.2591,18,4,4.12,62.54,0.68710222,0.998,6143.2005,6709.1107,done
358.7,2.439,0.6113,18,10,3.142,32.76,0.90571871,0.99097198,8513.176,9377.9179,done
375.9,1.644,0.3424,17,16,4.079,58.23,0.80186996,0.98655406,6321.3927,7099.1584,done
372.2,1.739,0.4236,9,6,4.114,39.16,0.68146813,0.98006993,9460.3809,10230.3217,done
357.5,2.451,0.6918,9,4,2.621,50.81,0.99671291,0.5997827,5415.1065,6006.9572,done
333.5,2.099,0.7156,10,8,1.063,35.05,0.97670712,0.77242863,4247.0329,4227.6656,done
376.8,2.316,0.712,17,13,1.178,41.85,0.97834601,0.66205151,3733.4958,4393.5617,done
342.2,2.904,0.6874,13,9,4.344,30.35,0.97475369,0.9696793,11569.4259,12806.0158,done
375.6,1.822,0.5901,18,13,3.457,60.7,0.98454904,0.66689398,5170.8293,5910.6157,done
356.7,2.885,0.4888,11,9,3.712,45.8,0.8817925,0.97298256,7826.5197,8809.5647,done
332.0,1.371,0.5007,16,5,4.615,38.76,0.82085905,0.998,11016.2186,11125.2437,done
373.7,1.31,0.4607,18,5,3.477,58.45,0.99897915,0.92206364,5516.1927,6100.2629,done
367.2,1.34,0.5911,13,5,2.362,37.88,0.94723021,0.98891244,6264.2088,6690.8611,done
339.8,1.467,0.4816,15,13,2.878,43.19,0.83497542,0.98138707,6972.7328,7096.2621,done
370.4,1.831,0.4393,16,13,2.485,46.81,0.81220168,0.98542794,5579.9833,6228.7918,done
331.0,1.444,0.5116,8,5,3.22,44.43,0.89170745,0.96556411,7515.209,7475.3045,done
369.9,2.111,0.2215,13,10,1.47,34.73,0.31574016,0.95500765,5045.0442,5666.1335,done
355.9,1.929,0.5834,16,14,2.823,32.27,0.84499075,0.96577299,7969.6207,8535.1094,done
332.8,2.733,0.531,8,2,1.855,39.18,0.84375432,0.95588223,5566.3196,5772.7581,done
368.8,1.36,0.3193,9,6,3.74,64.31,0.83659856,0.96992598,5113.0475,5654.3821,done
357.4,1.938,0.2548,15,4,2.48,63.99,0.67389232,0.97753334,3897.0616,4333.2819,done
362.7,1.859,0.7378,17,13,2.115,64.84,0.9767595,0.39288891,3313.5616,3784.8383,done
379.5,2.481,0.3143,12,2,3.284,35.43,0.48113749,0.99590155,8424.8121,9599.8532,done
379.4,1.325,0.6217,9,8,2.733,57.0,0.97598525,0.64726426,4716.8245,5364.8312,done
370.5,1.709,0.5414,9,7,1.377,41.66,0.86474353,0.91390508,4163.4793,4667.5923,done
361.4,2.239,0.2006,13,3,1.228,47.86,0.36230361,0.97631373,3681.2343,4110.3755,done
368.5,2.145,0.6539,9,7,3.098,66.51,0.98087053,0.5113026,4086.652,4743.1881,done
350.0,2.277,0.7891,15,13,3.051,40.78,0.97635799,0.48428931,7368.0886,7992.6935,done
379.8,2.602,0.3101,9,3,4.701,48.51,0.59629492,0.99445139,8818.2653,10169.6998,done
369.3,2.03,0.5044,9,4,2.029,32.32,0.72578442,0.961683,6233.9031,6907.9321,done
344.8,1.158,0.3006,11,3,2.961,65.87,0.85919718,0.98925205,4218.3679,4383.6521,done
368.6,1.555,0.2768,20,16,3.223,50.92,0.5549256,0.99183061,6381.5856,6977.5437,done
357.2,1.91,0.6105,16,3,2.066,49.04,0.99380191,0.78766178,4750.5865,5156.8554,done
373.4,2.302,0.4515,11,4,2.38,53.66,0.92127004,0.95545867,4657.725,5405.2433,done
333.4,1.233,0.7651,10,2,2.939,34.53,0.99620351,0.669967,8143.338,8103.447,done
336.8,1.515,0.302,14,7,2.926,42.09,0.51815424,0.9963019,7436.4349,7523.4088,done
359.6,1.754,0.5213,15,2,3.584,49.07,0.99198282,0.96491885,7055.1763,7592.2288,done
345.6,1.021,0.4126,13,3,3.607,57.77,0.96905922,0.99733977,6032.0688,6138.3598,done
339.3,1.525,0.3071,13,5,2.79,61.19,0.78939754,0.998,4681.2116,4803.2557,done
376.5,1.244,0.4853,12,10,2.156,58.49,0.98017784,0.8629539,3845.4683,4441.478,done
346.2,2.621,0.7283,14,10,4.225,47.92,0.98200969,0.54730381,8411.8316,9221.2045,done
371.5,1.0,0.782,15,5,2.755,65.07,0.999,0.33431908,3887.4468,4410.7749,done
366.7,2.624,0.5629,9,5,1.362,47.2,0.9896956,0.91308972,3721.5624,4310.9428,done
365.5,2.278,0.368,10,5,2.764,56.15,0.80038427,0.97037232,5021.8771,5682.7451,done
353.0,1.457,0.6121,17,7,2.164,43.06,0.9931726,0.89310324,5516.8973,5771.4752,done
361.0,2.051,0.7584,13,10,4.314,65.81,0.98057295,0.35708097,5476.0372,6119.2375,done
344.9,2.633,0.2265,16,12,4.312,58.32,0.53642608,0.99465423,7104.0017,7796.1222,done
333.4,2.14,0.4372,9,4,1.841,57.94,0.98218552,0.96029205,3779.3047,3829.1631,done
360.0,2.782,0.3639,17,9,3.44,43.37,0.63944404,0.99688082,7828.6003,8798.1633,done
359.8,2.367,0.6561,20,17,3.15,59.31,0.9774316,0.56425096,5099.7355,5747.3146,done
344.2,1.958,0.4737,18,6,3.269,49.9,0.94747214,0.99541955,6661.3356,7015.2536,done
365.6,1.363,0.2625,15,8,1.972,50.44,0.49697383,0.97122614,4581.8474,5026.8237,done
346.2,1.838,0.7042,20,19,3.47,36.88,0.97247979,0.75542977,8745.5544,9184.8344,done
351.9,1.706,0.4725,17,16,2.452,34.45,0.70245112,0.96698661,7089.6009,7449.7832,done
370.9,1.67,0.3798,14,8,4.829,46.28,0.69809767,0.98956969,9481.9822,10263.3387,done
343.8,2.883,0.2205,9,7,4.182,30.11,0.30875518,0.98631558,11906.2052,13100.1548,done
331.0,1.227,0.7382,9,5,1.542,43.79,0.98763779,0.58640926,4521.6649,4425.0031,done
373.6,1.985,0.3708,17,16,2.427,47.53,0.68882371,0.97919524,5432.3358,6151.4746,done
366.0,1.747,0.3063,13,7,4.816,38.92,0.50024629,0.99546487,11031.4138,11832.1424,done
336.6,1.394,0.7877,15,11,2.278,53.71,0.98207835,0.38174191,4781.1824,4813.5596,done
369.8,1.016,0.7958,11,2,1.702,43.95,0.99561462,0.46015681,4511.2127,4909.3394,done
363.0,1.766,0.3102,13,5,1.396,68.85,0.9443647,0.9763075,2248.5065,2671.0289,done
335.1,2.119,0.3781,11,4,2.887,41.17,0.63980994,0.998,7420.3302,7717.0853,done
331.3,2.3,0.6588,15,8,2.299,66.7,0.99068147,0.50626844,3478.1926,3536.0097,done
333.3,1.688,0.4717,16,2,2.412,66.75,0.99049153,0.78775359,3589.0242,3607.9742,done
361.4,1.888,0.4768,17,16,4.265,41.35,0.79707632,0.97695646,9434.4173,10283.7262,done
348.1,1.816,0.725,14,10,2.753,39.84,0.98316969,0.66338328,6946.1765,7328.1388,done
375.8,2.046,0.235,14,13,3.982,30.04,0.32896199,0.9844218,10762.3589,11842.8864,done
362.6,2.831,0.6764,18,9,2.127,61.47,0.99068431,0.52197754,3621.9444,4211.8179,done
338.0,1.51,0.5596,9,3,4.039,59.34,0.999,0.73901366,6413.9758,6609.0741,done
379.1,2.418,0.5077,14,2,4.176,50.71,0.99396127,0.96692228,7472.2416,8624.6966,done
338.6,2.548,0.6675,13,4,3.405,33.47,0.999,0.99312245,9149.8004,9850.6717,done
357.9,1.088,0.6959,19,2,1.943,67.6,0.99068932,0.4446628,2898.496,3224.8536,done
359.4,1.873,0.6206,19,6,1.528,54.63,0.9972958,0.69382405,3477.0917,3858.8195,done
332.5,2.536,0.3334,14,3,4.377,54.56,0.73706838,0.998,7889.1095,8389.4113,done
334.7,2.513,0.3345,16,10,2.615,33.17,0.49565401,0.99145896,7922.5225,8324.2006,done
360.7,2.905,0.7906,9,8,1.678,33.78,0.97706929,0.5771364,5363.7388,6034.9222,done
370.5,1.153,0.2478,19,5,3.483,31.93,0.36343932,0.998,9492.905,9986.7829,done
370.0,1.673,0.3086,13,6,2.211,49.94,0.5827517,0.96637046,4932.8034,5499.8911,done
374.7,2.235,0.5842,17,12,4.948,54.84,0.97871704,0.74315126,7941.6003,8943.4113,done
367.8,1.256,0.6737,13,3,4.851,41.33,0.99659453,0.78436226,10255.1114,10764.5663,done
332.7,1.081,0.3723,17,6,1.993,30.79,0.53907779,0.998,6810.1056,6624.0724,done
379.6,1.146,0.497,18,6,1.91,53.36,0.99728203,0.94029889,3961.5282,4573.8541,done
331.1,2.593,0.2484,10,8,1.103,52.7,0.48850523,0.96873062,3275.8202,3261.1595,done
378.2,1.214,0.7655,17,10,1.928,32.23,0.98603135,0.700829,5823.7174,6368.3701,done
337.0,1.918,0.4178,20,6,1.292,42.4,0.68806122,0.95260704,4244.7994,4309.5427,done
356.6,2.729,0.6065,10,7,2.027,32.15,0.87481672,0.95640009,6287.8654,7001.0872,done
342.9,1.454,0.681,12,11,1.912,45.95,0.97540343,0.66665017,4901.7702,5018.9174,done
334.1,2.054,0.5427,19,7,4.977,43.58,0.96302528,0.998,10678.4132,11144.332,done
354.9,1.54,0.7218,13,5,2.529,69.87,0.99337783,0.39569971,3232.5543,3582.1383,done
353.2,2.257,0.5839,13,4,2.651,34.16,0.89206224,0.998,7398.0723,7992.4355,done
333.8,1.401,0.4892,12,2,3.033,67.25,0.99143513,0.75507974,4164.8863,4205.598,done
350.0,2.352,0.2196,11,4,3.411,47.65,0.4165188,0.9948474,7398.1462,8058.6792,done
334.5,1.544,0.4706,18,4,3.128,31.97,0.68863617,0.99326665,9086.8781,9147.7507,done
370.0,2.394,0.5042,17,3,3.87,55.03,0.9925207,0.89500002,6531.216,7398.1374,done
350.3,2.658,0.5197,15,12,4.134,50.76,0.97962758,0.92769524,7774.8739,8535.9169,done
363.5,2.426,0.3953,14,4,4.831,42.82,0.6916798,0.998,10262.8662,11408.6052,done
349.1,1.261,0.6271,14,4,4.417,65.11,0.999,0.57102149,5785.8363,6080.2125,done
359.6,2.089,0.225,10,4,3.108,66.36,0.63356757,0.98207097,4284.3972,4811.4838,done
366.4,1.354,0.3271,15,5,1.668,62.59,0.8279565,0.9739299,3017.9901,3476.696,done
354.5,1.807,0.3715,11,7,4.86,69.19,0.98344316,0.89921895,5496.7103,5999.3639,done
339.7,1.789,0.7705,11,10,4.29,46.3,0.97435401,0.46425197,8865.0886,9232.3712,done
368.8,2.639,0.7946,12,11,3.087,63.85,0.97616836,0.3071002,4399.3608,5180.2199,done
373.8,2.834,0.6028,16,7,3.504,40.05,0.99422807,0.98130304,7950.9812,9228.7595,done
353.8,2.159,0.3147,18,3,1.9,56.5,0.68346881,0.96715829,3949.4116,4320.7337,done
370.9,2.817,0.251,14,9,4.058,65.35,0.71166561,0.99425904,5308.0978,6248.9123,done
358.8,1.028,0.3318,18,7,3.094,45.26,0.6045566,0.998,6996.8029,7262.205,done
356.5,2.546,0.5054,9,5,3.851,53.04,0.98909431,0.92563527,6926.5954,7735.9674,done
379.3,2.473,0.3546,12,10,2.2,38.14,0.54507258,0.95371781,5977.315,6951.2881,done
351.3,2.67,0.7013,10,5,1.844,36.19,0.99375653,0.8103031,5564.2824,6071.9914,done
350.8,2.339,0.4543,14,6,4.926,38.26,0.73826033,0.998,11462.9959,12429.3467,done
374.4,1.162,0.296,9,8,2.388,60.51,0.69717502,0.96576408,4039.845,4592.2399,done
346.3,1.309,0.7361,10,9,1.132,48.89,0.97459412,0.51423831,3372.4787,3483.719,done
333.7,1.717,0.3124,15,2,1.819,46.55,0.57477511,0.9860771,4928.5517,4952.3608,done
370.3,1.493,0.7171,13,10,4.545,64.46,0.98164688,0.42792925,5838.992,6495.6324,done
351.8,2.02,0.2129,14,6,2.67,40.0,0.33287802,0.97208543,7109.6776,7561.1712,done
340.3,2.736,0.6896,19,18,4.153,31.05,0.97463723,0.94125111,11055.7638,12085.8127,done
364.3,1.036,0.772,16,8,1.463,61.46,0.99060511,0.36612358,2850.4478,3235.7257,done
376.8,2.94,0.4834,10,5,4.896,65.48,0.99234059,0.78311906,5988.056,7123.2376,done
334.7,1.487,0.6619,18,12,1.883,63.97,0.98675962,0.52037067,3267.0605,3290.368,done
337.7,1.214,0.2425,9,8,1.434,66.13,0.66597645,0.97463068,2651.8908,2693.5054,done
349.0,2.807,0.317,12,9,3.723,42.95,0.55027073,0.9898379,8568.6764,9519.3844,done
355.0,2.419,0.4078,15,12,4.365,38.4,0.64945202,0.98087672,10317.6484,11348.2253,done
349.7,1.741,0.5295,9,2,4.797,45.14,0.95281329,0.98343106,9817.6679,10324.6303,done
343.0,1.584,0.5035,19,18,4.731,44.27,0.88297588,0.97299346,10035.7493,10362.621,done
378.0,1.112,0.302,10,2,4.603,33.58,0.45507585,0.99763603,11346.2764,11927.7261,done
378.1,2.259,0.726,8,5,2.404,59.58,0.98273766,0.44922815,4051.6843,4831.353,done
333.2,2.89,0.3305,14,4,1.274,35.29,0.4858877,0.95172138,4840.7828,4998.5073,done
361.9,2.177,0.6358,18,5,2.259,61.83,0.99761958,0.58576799,3743.2245,4278.002,done
342.0,1.254,0.619,16,6,2.248,58.01,0.999,0.655729,4241.5753,4341.7688,done
367.9,1.202,0.2261,16,14,3.251,32.41,0.3256476,0.98432982,9026.5734,9460.734,done
353.9,2.161,0.5587,14,11,2.674,63.61,0.97991755,0.68359218,4086.3218,4516.5231,done
353.8,1.41,0.4502,11,4,1.791,65.39,0.9931217,0.83661787,2947.8303,3239.2614,done
345.4,1.178,0.3093,17,13,3.707,48.16,0.58623667,0.9905081,7815.0453,7959.1274,done
357.5,2.225,0.5228,14,13,4.259,66.06,0.97273179,0.71000649,5425.1375,6043.0663,done
360.5,1.751,0.3854,14,13,2.666,48.37,0.72343224,0.98007788,5836.9029,6337.5114,done
333.0,2.845,0.2813,9,3,2.611,58.68,0.65510504,0.98305414,4852.9635,5086.4906,done
361.3,2.567,0.7413,13,6,1.748,67.08,0.99252088,0.37884101,2730.1605,3191.1832,done
348.9,1.963,0.4167,17,2,4.934,40.06,0.69233679,0.99350733,11211.0531,11889.2964,done
371.1,1.308,0.4567,18,8,3.594,50.14,0.9162581,0.998,6838.3223,7387.4845,done
330.1,2.455,0.2844,17,4,4.898,34.26,0.43076844,0.998,12913.6193,13721.9631,done
371.2,1.075,0.323,12,3,3.654,40.56,0.54376273,0.998,8482.1884,8951.2906,done
